contract_address,is-upc-groundtruth,is-proxy-groundtruth,implementation-contracts
0x0000000000075efbee23fe2de1bd0b7690883cc9,UPC,Proxy,"['0xd2240204502bf72d68194519531d02844c4cd642', '0x21c464af99159ab6b220dc169ff3f57fe1cdfaf4', '0x035f99a181146219b396a69a422f7722b2c16400', '0xb2182ed9b6c51ddb3181919117d661f58f0beff3']"
0x0000000000085d4780b73119b644ae5ecd22b376,UPC,Proxy,"['0xcb9a11afdc6bdb92e4a6235959455f28758b34ba', '0x1a7299a20ff9d9162cda9164c5770cf9d576b70c', '0xd8d59c59ab40b880b54c969920e8d9172182ad7b', '0xc97787c9054c3ede4b96b74aba3f32a336045d6c', '0xbe9faf3015fb9efced0454450cbe2ead4dc41ca6', '0xd6c03398c2113447d736c869a5c9118823cce9ca', '0xffc40f39806f1400d8278bfd33823705b5a4c196', '0x7a9701453249e84fd0d5afe5951e9cbe9ed2e90f', '0x137ce3a8d934a2738bd5bda477e7a9187a75b1e9', '0x08873f4d27d2a9c6d907bd5a90d722b108e56688', '0xc3beaff45dc921a4a5a3b432aef519c898d14b28', '0x137ceae7ea876986d280f5916832d51832f79985', '0x20594f0b1f549d19b5dd81590d93bd131c657e01', '0x7677939b447ebc1cf97f924f07c0d2d0b7c41d44']"
0x00000000441378008ea67f4284a57932b1c000a5,UPC,Proxy,"['0x7bd33c6daf9ba1bdbc7652fabdc7b308f41668c5', '0xaa912f203dcc1f5b6f862c0e0da3254cfc08a1d9', '0x8511dc1dece6faf58f696aac265fef18da7d7a05', '0x106d8fb5775a57ae38a2ffb1441eb0963e09dba7', '0x137cee63f06ca413ca51d485fe98b0d12bacfa14']"
0x00000000bbcf7700a1b403c9eb666f350707b900,UPC,Proxy,"['0xd000ab902ae8d4497e32cd8f687a5667bdc9f35c', '0x3af9f0d29534cc68218ac5652ab194c766d4ed4f', '0x035f99a181146219b396a69a422f7722b2c16400']"
0x00000100f2a2bd000715001920eb70d229700085,UPC,Proxy,"['0x0f614fbd7e17edfac5ca3c59e72a1ec3c5b71624', '0x0f6148fb3fd8188bb26404ca003640ab393eb53a', '0x0fe124a7666f63ba8e0a460c64e3bf739bc259d8']"
0x0000107d120000e00095cf06b787a0a900b1f8bd,UPC,Proxy,"['0x5ec598f9fb219c9019f39c8237bd4f65bb35d9d6', '0x035f99a181146219b396a69a422f7722b2c16400']"
0x0000109a8344de9c00465264006c0000769a2770,UPC,Proxy,"['0x3592d52009cefbdf1a2eab3463bed1881d05497c', '0x035f99a181146219b396a69a422f7722b2c16400']"
0x00005cad001e0900002979f7314d00fc480a29bd,UPC,Proxy,"['0x035f99a181146219b396a69a422f7722b2c16400', '0x0f61423a7728a486516d289badcdeb2272f75f76']"
0x00006100f7090010005f1bd7ae6122c3c2cf0090,UPC,Proxy,"['0x3592d520d3404d510bb55fb9517c6ed599646ae7', '0x3592d5037865f425628583ca1ca3bdc069dfcdd8', '0xc40750744f075fdc4a0a4c75b7af9380bc59befb']"
0x0000852600ceb001e08e00bc008be620d60031f2,UPC,Proxy,"['0x9c1a48a8a9bd4345dcc16d65f96f20417a7daace', '0x5ec598ee5838e1d786b6ac9e4adeb6bd5dde1a87', '0x5ec59858946cea96713cc4aeea8dc84795d0d357']"
